source,target
Sports News: Victory Championship Update,Business News: Company Retail Update
Global Markets Rise Amid Economic Recovery,Politics News: Campaign Parliament Update
Business News: Trade Economy Update,Sports News: Tournament Championship Update
Entertainment News: Concert Music Update,Entertainment News: Show Film Update
Technology News: Startup Hardware Update,Entertainment News: Actor Concert Update
Entertainment News: Film Show Update,Politics News: Policy Minister Update
Technology News: Startup Innovation Update,Business News: Investment Trade Update
Business News: Company Profit Update,Sports News: Score Championship Update
Politics News: Vote Election Update,Technology News: Network Software Update
Entertainment News: Music Film Update,Politics News: Election Parliament Update
Business News: Economy Profit Update,Technology News: Platform Device Update
Sports News: Victory Player Update,Politics News: Election Diplomacy Update
Politics News: Minister Parliament Update,International Summit Addresses Climate Change
Sports News: Championship Player Update,Business News: Company Trade Update
Sports News: Coach Player Update,Entertainment News: Concert Award Update
Technology News: Startup Hardware Update,Sports News: Victory Season Update
Electric Vehicle Technology Advances,Business News: Trade Stock Update
Sports News: Victory Season Update,Entertainment News: Celebrity Concert Update
Sports News: Score Championship Update,Business News: Market Profit Update
Politics News: Reform Diplomacy Update,Business News: Market Profit Update
Sports News: Tournament Season Update,Technology News: Network Software Update
Retail Sales Show Unexpected Growth,Entertainment News: Concert Music Update
Politics News: Policy Reform Update,Business News: Trade Profit Update
Marathon Event Attracts Thousands of Runners,Politics News: Minister Parliament Update
Politics News: Campaign Diplomacy Update,Sports News: Season Score Update
Politics News: Minister Election Update,Blockbuster Film Breaks Box Office Records
Sports News: Score Championship Update,Entertainment News: Film Show Update
Sports News: Coach Player Update,Sports News: Championship Player Update
Entertainment News: Theater Award Update,Technology News: Hardware Startup Update
